# Map Resource Utilization Report file generated by Lattice Diamond Version 3.13.0
#Generated on 08/22/26 18:03:58
#DESIGN = GitTest
#DEVICE = LCMXO2-4000HC
#PACKAGE = CSBGA132
#PERFORMANCEGRADE = 4

Hierarchy Node,LUT4,PFU Registers,IO Registers,EBR,Distributed RAM,Carry Cells,SLICE,
        WISHBONE_MASTER_8s_Z92(u_WISHBONE_MASTER),3(3),26(26),0(0),0(0),0(0),0(0),8(8),
    XT_HB_15s_3s_2s_4s_156_1s_12s_2s_Z36(u_XT_HB),153.83(131.83),6(0),0(0),0(0),0(0),0(0),63(51.67),
        SelectDecoder_0s_3s_2s_4s_2s_3s_156(u_MMIO),16(16),0(0),0(0),0(0),0(0),0(0),7.83(7.83),
        XT_HB_Arbiter_2s_1s(u_XT_BusArbiter),6(0),6(0),0(0),0(0),0(0),0(0),3.5(0),
            RoundRobinArbiter_2s_1s(gen_polling.u_ReadArbiter),3(3),3(3),0(0),0(0),0(0),0(0),1.75(1.75),
            RoundRobinArbiter_2s_1s_0(gen_polling.u_WriteArbiter),3(3),3(3),0(0),0(0),0(0),0(0),1.75(1.75),
    XT_HB32_Adapter_6s_3s_6s_3s_3s_Z78(u_XT_HB32_Adapter),96(96),1(1),0(0),0(0),0(0),0(0),46.67(46.67),
    XT_LB_8s_2s_4s_6s_52s_Z95(u_XT_LB),36(29),67(25),0(0),0(0),0(0),0(0),30.5(17.25),
        CDC_MCP_Formulation_52s(u_CDC_MCP_Formulation),7(3),42(34),0(0),0(0),0(0),0(0),13.25(9.66),
            OncePulseRst_2s_3_3s_0_0(u_OncePulse_ack),1(1),3(3),0(0),0(0),0(0),0(0),1.17(1.17),
            OncePulseRst_2s_3_3s_0_2(u_OncePulse_en),0(0),3(3),0(0),0(0),0(0),0(0),0.83(0.83),
            StopAndWaitFSM_1(u_StopAndWaitFSM_receive),1(1),1(1),0(0),0(0),0(0),0(0),0.67(0.67),
            StopAndWaitFSM_4294967295s_1(u_StopAndWaitFSM_send),2(2),1(1),0(0),0(0),0(0),0(0),0.92(0.92),
    efbZ0(u_efb),0(0),0(0),0(0),0(0),0(0),0(0),0(0),
